"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","Without Sequence","0.01","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","Without Sequence","0.00","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","Without Sequence","-0.01","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","Without Sequence","-0.03","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","Without Sequence","-0.02","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","Without Sequence","-0.04","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","Without Sequence","-0.01","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","Without Sequence","0.00","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","Without Sequence","0.04","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","Without Sequence","0.06","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FR","Without Sequence","0.54","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FR","Without Sequence","2.24","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FR","Without Sequence","2.06","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FR","Without Sequence","1.73","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|FR","Without Sequence","5.72","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|FR","Without Sequence","18.49","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|FR","Without Sequence","37.00","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|FR","Without Sequence","47.50","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|FR","Without Sequence","54.97","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|FR","Without Sequence","48.61","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|FR","Without Sequence","24.88","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|FR","Without Sequence","35.89","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|FR","Without Sequence","35.89","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|FR","Without Sequence","19.49","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|FR","Without Sequence","16.12","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|FR","Without Sequence","0.06","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|FR","Without Sequence","0.02","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|FR","Without Sequence","0.01","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|FR","Without Sequence","0.09","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|FR","Without Sequence","20.74","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|FR","Without Sequence","44.70","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|FR","Without Sequence","53.78","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|FR","Without Sequence","54.23","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|FR","Without Sequence","50.00","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|FR","Without Sequence","52.20","",""
