"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|FR","Without Sequence","0.00","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|FR","Without Sequence","-0.10","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|FR","Without Sequence","-1.33","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|FR","Without Sequence","-4.08","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|FR","Without Sequence","-4.16","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|FR","Without Sequence","-3.58","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|FR","Without Sequence","-4.37","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|FR","Without Sequence","-0.12","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|FR","Without Sequence","-0.06","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|FR","Without Sequence","0.00","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|FR","Without Sequence","0.00","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|FR","Without Sequence","0.00","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|FR","Without Sequence","0.00","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|FR","Without Sequence","0.10","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|FR","Without Sequence","1.50","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|FR","Without Sequence","23.50","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|FR","Without Sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|FR","Without Sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|FR","Without Sequence","44.43","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|FR","Without Sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|FR","Without Sequence","47.38","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|FR","Without Sequence","40.24","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|FR","Without Sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|FR","Without Sequence","45.96","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|FR","Without Sequence","61.38","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|FR","Without Sequence","52.68","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|FR","Without Sequence","52.93","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|FR","Without Sequence","42.75","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|FR","Without Sequence","50.08","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|FR","Without Sequence","67.91","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|FR","Without Sequence","105.08","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|FR","Without Sequence","140.64","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|FR","Without Sequence","149.80","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|FR","Without Sequence","154.66","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|FR","Without Sequence","145.61","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|FR","Without Sequence","143.35","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|FR","Without Sequence","144.38","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|FR","Without Sequence","143.76","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|FR","Without Sequence","148.20","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|FR","Without Sequence","155.34","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|FR","Without Sequence","163.17","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|FR","Without Sequence","173.80","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|FR","Without Sequence","174.74","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|FR","Without Sequence","165.76","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|FR","Without Sequence","153.00","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|FR","Without Sequence","141.67","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|FR","Without Sequence","134.91","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|FR","Without Sequence","134.91","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|FR","Without Sequence","130.01","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|FR","Without Sequence","120.00","",""
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|FR","Without Sequence","118.76","",""
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|FR","Without Sequence","115.00","",""
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|FR","Without Sequence","113.63","",""
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|FR","Without Sequence","116.27","",""
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|FR","Without Sequence","138.92","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|FR","Without Sequence","159.92","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|FR","Without Sequence","169.17","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|FR","Without Sequence","171.18","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|FR","Without Sequence","168.57","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|FR","Without Sequence","169.49","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|FR","Without Sequence","164.50","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|FR","Without Sequence","160.91","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|FR","Without Sequence","163.06","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|FR","Without Sequence","166.46","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|FR","Without Sequence","166.88","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|FR","Without Sequence","171.23","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|FR","Without Sequence","169.01","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|FR","Without Sequence","160.99","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|FR","Without Sequence","149.62","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|FR","Without Sequence","131.50","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|FR","Without Sequence","115.10","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|FR","Without Sequence","115.10","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|FR","Without Sequence","82.03","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|FR","Without Sequence","72.22","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|FR","Without Sequence","43.91","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|FR","Without Sequence","16.28","",""
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|FR","Without Sequence","8.56","",""
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|FR","Without Sequence","20.98","",""
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|FR","Without Sequence","72.45","",""
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|FR","Without Sequence","105.10","",""
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|FR","Without Sequence","134.16","",""
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|FR","Without Sequence","129.30","",""
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|FR","Without Sequence","120.70","",""
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|FR","Without Sequence","96.77","",""
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|FR","Without Sequence","105.03","",""
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|FR","Without Sequence","106.00","",""
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|FR","Without Sequence","105.07","",""
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|FR","Without Sequence","103.90","",""
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|FR","Without Sequence","107.98","",""
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|FR","Without Sequence","129.82","",""
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|FR","Without Sequence","167.29","",""
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|FR","Without Sequence","160.60","",""
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|FR","Without Sequence","132.10","",""
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|FR","Without Sequence","110.82","",""
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|FR","Without Sequence","109.89","",""
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|FR","Without Sequence","109.89","",""
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|FR","Without Sequence","64.89","",""
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|FR","Without Sequence","58.57","",""
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|FR","Without Sequence","68.07","",""
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|FR","Without Sequence","27.68","",""
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|FR","Without Sequence","37.33","",""
"05/01/2023 05:00:00 - 05/01/2023 06:00:00","BZN|FR","Without Sequence","65.10","",""
"05/01/2023 06:00:00 - 05/01/2023 07:00:00","BZN|FR","Without Sequence","95.05","",""
"05/01/2023 07:00:00 - 05/01/2023 08:00:00","BZN|FR","Without Sequence","137.96","",""
"05/01/2023 08:00:00 - 05/01/2023 09:00:00","BZN|FR","Without Sequence","137.99","",""
"05/01/2023 09:00:00 - 05/01/2023 10:00:00","BZN|FR","Without Sequence","142.99","",""
"05/01/2023 10:00:00 - 05/01/2023 11:00:00","BZN|FR","Without Sequence","145.70","",""
"05/01/2023 11:00:00 - 05/01/2023 12:00:00","BZN|FR","Without Sequence","145.80","",""
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","BZN|FR","Without Sequence","142.35","",""
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","BZN|FR","Without Sequence","143.32","",""
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","BZN|FR","Without Sequence","151.03","",""
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","BZN|FR","Without Sequence","159.48","",""
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","BZN|FR","Without Sequence","172.73","",""
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","BZN|FR","Without Sequence","183.90","",""
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","BZN|FR","Without Sequence","194.67","",""
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","BZN|FR","Without Sequence","177.98","",""
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","BZN|FR","Without Sequence","163.99","",""
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","BZN|FR","Without Sequence","152.00","",""
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","BZN|FR","Without Sequence","144.64","",""
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","BZN|FR","Without Sequence","144.64","",""
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","BZN|FR","Without Sequence","107.21","",""
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","BZN|FR","Without Sequence","101.10","",""
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","BZN|FR","Without Sequence","96.73","",""
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","BZN|FR","Without Sequence","81.37","",""
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","BZN|FR","Without Sequence","75.75","",""
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","BZN|FR","Without Sequence","81.00","",""
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","BZN|FR","Without Sequence","97.45","",""
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","BZN|FR","Without Sequence","107.82","",""
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","BZN|FR","Without Sequence","122.80","",""
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","BZN|FR","Without Sequence","138.27","",""
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","BZN|FR","Without Sequence","139.97","",""
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","BZN|FR","Without Sequence","131.72","",""
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","BZN|FR","Without Sequence","122.22","",""
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","BZN|FR","Without Sequence","116.09","",""
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","BZN|FR","Without Sequence","129.22","",""
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","BZN|FR","Without Sequence","137.20","",""
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","BZN|FR","Without Sequence","140.75","",""
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","BZN|FR","Without Sequence","155.93","",""
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","BZN|FR","Without Sequence","163.50","",""
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","BZN|FR","Without Sequence","146.74","",""
